DocID,Title,WikiID,In,Out
23,FreeNAS,5368671,"OS;operating system
NAS;network-attached storage","PHP-based;php hypertext preprocessor
BSD;berkeley software distribution
FreeNAS;free network-attached storage
REST;representational state transfer
CD-ROM;compact disc read-only memory
DOM;disk on module
API;application programming interface
AFP;apple filing protocol
SSH;secure socket shell
TFTP;trivial file transfer protocol
FTP;file transfer protocol
MacOS;mac operating system
SMB;server message block
RAID;redundant array of independent disks
USB;universal serial bus
NFS;network file system
ZFS;zettabyte file system
FreeBSD;free berkeley software distribution
OpenZFS;open zettabyte file system
JS;javascript
TrueOS;true operating system
GA;general availability
SATA;serial advanced technology attachment
iSCSI;internet small computer systems interface"
24,Universal controls,14281172,"PEPs;policy enforcement points
PDP;policy decision point","e-mail;electronic mail
API;application programming interface
XACML;extensible access control markup language
IM;instant message
SOA;service-oriented architecture
PC;personal computer
USB;universal serial bus
CD;compact disc
4GL;fourth-generation programming language
FTP;file transfer protocol"
25,TI-81,657653,TI;texas instruments,"DOSBox;disk operating system box
RAM;random access memory
MS-DOS;microsoft disk operating system
CAS;computer algebra system
Mhz;megahertz"
26,Subgroup analysis,5434504,,e.g.;exempli gratia
27,Information and Content Exchange,412556,"ICE;information and content exchange
OCS;open content syndication","NITF;news industry text format
RSS;really simple syndication
WDDX;web distributed data exchange
CORBA;common object request broker architecture
HTTP;hypertext transfer protocol
CDF;channel definition format
XML;extensible markup language
W3C;world wide web consortium
DCOM;distributed component object model
PRISM;publishing requirements for industry standard metadata"
28,Foldable smartphone,60119704,MWC;mobile world congress,"TCL;telephone communication limited
ZTE;zhong xing telecommunication equipment
NEC;nippon electric company
VP;vice-president
LG;lucky-goldstar
OLED;organic light-emitting diode
CEO;chief executive officer"
29,Hamilton C shell,29820733,,"etc;et cetera
NT;new technology
OS/2;operating system/2"
30,Les Trophées du Libre,14701147,,
31,GIS file formats,410879,"BLOB;binary large object
FSDSSs;flexible spatial decision-making support systems
RDBMS;relational database management system
TIN;triangulated irregular networks
RGB;red, green, blue","USGS;united states geological survey
TIFF;tagged image file format
JPEG;joint photographic experts group
GIS;geographic information system"
32,Software remastering,9202700,IE;internet explorer,"Win;windows
PCLinuxOS;personal computer linux operating system
CD-ROM;compact disk-read only memory
IT;information technology
USB-thumbdrive;universal serial bus thumbdrive
DOS;disk operating system
SLS;softlanding linux system
SP2;service pack two
BSD;berkeley software distribution
GUI;graphical user interface
CD;compact disk
Lite-PC;lite personal computer
NT;new technology
ISO;international organization for standardization
PC;personal computer
DVD;digital versatile disc
CPU;central processing unit
MB;megabyte
GNU;gnu's not unix"
33,FeliCa,1432278,"EAL4;evaluation assurance level 4
IT;information technology
IC;integrated circuit
AES;advanced encryption standard
JICSAP;japan ic card system application council
FeliCa;felicity card","VAIO;visual audio intelligent organizer
Suica;super urban intelligent card
JR;japan railway
UK;united kingdom
Mhz;megahertz
RFID;radio-frequency identification
ISO;international organization for standardization
PC;personal computer
USB;universal serial bus
NFC-F;near-field communication-felica
kbit/s;kilobit per second
JIS;japanese industrial standards
IEC;international electrotechnical commission
NFC;near-field communication"
34,ERAM,7895973,"ADS-B;automatic dependent surveillance-broadcast
ARTCC;air route traffic control center
ERAM;en route automation modernization
ORD;operational readiness decision
SWIM;system wide information management","FAA;federal aviation administration
NextGen;next generation
CONUS;contiguous united states"
35,Daredevil Dennis,3118834,C64;commodore 64,"BBC;british broadcasting corporation
Micro;microcomputer system"
36,Librem,49548566,"HOTP;hmac-based one-time password
BIOS;basic input/output system
TOTP;time-based one-time password","GNOME;gnu network object model environment
g;gram
GTK-compliant;gimp toolkit compliant
RFC;request for comments
mm;millimeter
kbit/s;kilobit per second
NXP;next experience
GNU/Linux;gnu's not unix linux
KDE;k desktop environment
IP-native;internet protocol native
USB;universal serial bus
CPU;central processing unit
PureOS;pure operating system
SPC;social purpose corporation
HMAC-based;hash-based message authentication code-based"
37,John C. Gittins,28046840,"Sci.;science
D.;doctor",
38,The Kirlian Frequency,60002558,,"TV;television
Cine;cinema
indie;independent
AM;amplitude modulation
Labs;laboratories"
39,Intelligence assessment,519276,"F3EA;find-fix-finish-exploit-assess
RFI;request for information",
40,Lego Friends,34370313,,"NPR;national public radio
TV;television
DK;dorling kindersley
Direct-to-DVD;direct to digital video disc"
41,Private Internet Access,39920910,"VPN;virtual private network
ECC;elliptic curve cryptography
PIA;private internet access","IRC;internet relay chat
SHA1;secure hash algorithm 1
PPTP;point-to-point tunneling protocol
SHA256;secure hash algorithm 256
DNS;domain name system
OpenVPN;open virtual private network
AES;advanced encryption standard
L2TP/Ipsec;layer 2 tunneling protocol/internet protocol security
UDP;user datagram protocol
IPv6;internet protocol version six
TCP;transmission control protocol
CEO;chief executive officer
RSA;rivest-shamir-adleman"
42,Dean Allemang,17723079,,"SPARQL;sparql protocol and rdf query language
OWL-ED;web ontology language-experiences and directions
MSc;master of science
LLC;limited liability company
RDF;resource description framework
PhD;philosophiae doctor"
43,Network sovereignty,41792368,"ISPs;internet service providers
WIPO;world intellectual property organization
VPNs;virtual private networks
PCT;patent cooperation treaty","US;united states
PIPA;protect internet protocol act
EU;european union
Wi-Fi;wireless fidelity
SOPA-PIPA;stop online piracy act-protect internet protocol act
SOPA;stop online piracy act
IP;internet protocol
No.;number
UK;united kingdom
e-commerce;eletronic commerce"
44,XProc,13015603,,"W3C;world wide web consortium
XML;extensible markup language"
45,International Arctic Research Center,6577179,"IARC;international arctic research center
UAF;university of alaska fairbanks",
46,ChipWits,6870355,,Dec;december
47,JBIG,1061675,JBIG;joint bi-level image experts group,"ITU-T;international telecommunication union telecommunication standardization sector
1/SC;1/subcommittee
IBM;international business machines
AT&T;american telephone and telegraph
JTC;joint technical committee
ISO/IEC;international organization for standardization/international electrotechnical commission"
48,Linwood G. Dunn,5323047,"AMPAS;academy of motion picture arts and sciences
A.S.C.;american society of cinematographers
ASC;american society of cinematographers","mm;millimeter
RKO;radio-keith-orpheum
3-D;three dimensional
TV;television"
49,Bitmovin,46596986,,"IETF;internet engineering task force
MPEG;moving picture experts group
IIS;internet information services
HTML5;hypertext markup language 5
DASH-IF;dynamic adaptive streaming over http-industry forum
DASH;dynamic adaptive streaming over http
etc;et cetera
MPEG-DASH;moving picture experts group-dynamic adaptive streaming over http
HTTP;hypertext transfer protocol
DRM;digital rights management
AWS;amazon web services"
50,HP Pavilion (computer),3089253,"HPE;high performance edition
PSUs;power supply units
HP;hewlett-packard","US;united states
XPS;xtreme performance system
RAM;random access memory
IBM-compatible;international business machines compatible
etc;et cetera
Co;company
Mhz;megahertz
GPU;graphics processing unit
MTV;music television
Wi-Fi;wireless-fidelity
PC;personal computer
AMD;advanced micro devices
s;seconds
MB;megabyte
DVDs;digital versatile discs
CD-ROM;compact disc-read-only memory"
51,Flexenclosure,40073004,"AP2;andra ap-fonden
IFC;international finance corporation
NOC;network operations centre","UAE;united arab emirates
telecom;telecommunication
US$;united states dollars
AB;aktiebolag"
52,Spare Parts (video game),29911535,,"EA;electronic arts
AI;artificial intelligence
IGN;imagine games network
HAL;heuristically programmed algorithmic computer
A.V.;audio visual"
53,Eirpac,14087346,NUI;network user identification,"DNIC;data network identification code
VPN;virtual private network
AT;attention
ATDT;attention dial tone"
54,Stealth wallpaper,4194311,,"GSM;global system for mobile communications
4G;fourth generation
BAE;british aerospace
Wi-Fi;wireless-fidelity
UK;united kingdom"
55,Spanish Data Protection Agency,31550711,AEPD;agencia española de protección de datos,"Wi-Fi;wireless-fidelity
EC;european commission
Wifi;wireless fidelity"
56,Efficient XML Interchange,12060598,"EXI-capable;efficient xml interchange-capable
EXI;efficient xml interchange
W3C;world wide web consortium","US;united states
non-XML;non-extensible markup language
XML;extensible markup language"
57,E-Report,13328107,"VT;vocational training
VCs;vocational centers
WP3;work-package 3
WP1;work-package 1
WP2;work-package 2","U;university
CD;compact disk
Us;universities
EAC;education, audiovisual and culture
ICT;information and communications technology
e-newsletter;electronic newsletter
e-learning;electronic learning
e.g.;exempli gratia
DVD;digital versatile disc
PC;personal computer
VET;vocational education and training
LMS;learning management system"
58,Mkfs,12769879,,"VXFS;veritas file system
bfs;boot file system
mkfs;make file system
DECtape;digital equipment corporation tape
vfat;virtual file allocation table
HFS;hierarchical file system
ext2;extended file system 2
ext3;extended file system 3
HP-UX;hewlett packard-unix
Minix;mini-unix
CPM;control program for microcomputers
minix;mini-unix
e.g.;exempli gratia
SunOS;sun operating system
NTFS;new technology file system
RF;radio-frequency
fat;file allocation table
MSDOS;microsoft disk operating system
SCO;santa cruz operation
ext4;extended file system 4"
59,Zach Galifianakis,644431,,"direct-to-DVD;direct-to-digital versatile disc
LA;los angeles
TV;television
VH1;video hits 1
Mr.;mister
H.B.;house bill
MTV;music television
UBC;university of british columbia
HBO;home box office
FX;fox extended networks
SXSW;south by southwest"
60,Systematics – study of multi-term systems,2892398,LVT;logovisual thinking,
61,Triplestore,16727386,"RDF;resource description framework
OLAP;online analytical processing","NoSQL;not only structured query language
SQL-based;structured query language-based
SPARQL;sparql protocol and rdf query language
SQL;structured query language"
62,Public-domain-equivalent license,6504282,"OSI;open source initiative
FSF;free software foundation
SPDX;software package data exchange","CC0;creative commons 0
WTFPL;do what the fuck you want to public license
OpenBSD;open berkeley software distribution
BSD;berkeley software distribution
FOSS;free and open-source software
GNU;gnu's not unix"
63,Network mapping,142338,"AS-level;autonomous systems-level
AS;autonomous systems","POP;post office protocol
OSI;open systems interconnection
BGP;border gateway protocol
RIPE;réseaux ip européens
IT;information technology
etc.;et cetera
ICMP;internet control message protocol
3D;three-dimensional
MRT;multiple render targets
URLs;uniform resource locators
e.g.;exempli gratia
ISP;internet service provider
MIBs;management information bases
IP;internet protocol
BGPMon;border gateway protocol monitoring
SNMP;simple network management protocol"
64,Smart card management system,34556149,"SCMS;smart card management system
CMS;credential management system",EOL;end of life
65,NamePros,43696305,,"USD;united states dollar
RSS;really simple syndication"
66,Qt Project,39331660,QPL;q public license,"KDAB;klarälvdalens datakonsult ab
BSD-style;berkeley software distribution-style
LGPL;lesser general public license
IBM;international business machines
GPL;general public license
RIM;research in motion
KDE;k desktop environment
CEO;chief executive officer"
67,Distributed transmission system,20376898,"US;united states
PID;packet identifier
FCC;federal communications commission
DTx;distributed transmission system
MTVA;metropolitan television alliance
DTS;distributed transmission system
NYC;new york city
DTV;digital television","UHF;ultra high frequency
Hz;hertz
DVB-T;digital video broadcasting-terrestrial
low-VHF;low-very high frequency
NBC;national broadcasting company
RF;radio-frequency
TV;television
non-MPEG;non-moving picture experts group
ATSC;advanced television systems committee
Mhz;megahertz
Ghz;gigahertz
VHF;very high frequency
kW;kilowatt
GPS;global positioning system
OMP;operations and maintenance packet
8VSB;8-level vestigial sideband modulation
OFDM;orthogonal frequency-division multiplexing
CTIA;cellular telecommunications and internet association
dB;decibel
DMA;designated market area"
68,Glitching,1524152,GTA;grand theft auto,"Bros.;brothers
NCAA;national collegiate athletic association
FIFA;fédération internationale de football association
L.A.;los angeles"
69,XPath 2.0,1003003,W3C;world wide web consortium,"XPath;xml path language
XQuery;xml query
XDM;xquery and xpath data model
XML;extensible markup language
XSLT;extensible stylesheet language for transformation
QName;qualified name
FLWOR;for, let, where, order by, return"
70,Guard tour patrol system,9465204,"PES;portable electronic sensor
SaaS;software as a service","QR;quick response
i.e.;id est
GPRS;general packet radio service
NFC;near field communication
ID;identifier
GPS;global positioning system
USB;universal serial bus
RFID;radio frequency identification"
71,Route redistribution,42968021,,
72,Nvidia Tesla,42100593,"GPUs;graphics processing units
GPGPU;general-purpose graphics processing units","TSMC;taiwan semiconductor manufacturing company
FinFET;fin field-effect transistor
CUDA;compute unified device architecture
GPUs;graphics processing units
OpenCL;open computing language
AMD;advanced micro devices
ARMv8;advanced risc machines version 8
HBM2;high bandwidth memory 2
DVI;digital visual interface
GeForce;general electronic facsimile optimized for repair and ceaseless exploration
APIs;application programming interfaces"
73,MaPS S.A.,46489271,MaPS;marketing publishing and sales,"ICT;information and communication technologies
ICI;imperial chemical industries
GS1;global standards 1
S.A.;société anonyme
MaPS;marketing publishing  sales"
74,Dataspaces,26705941,"DSSP;dataspace support platform
PIM;personal information management","CORIE;cyber operational resilience intelligence-led exercises
e.g.;exempli gratia
SIGMOD;special internet group on management of data
PIM;product information management"
75,Acer beTouch E130,29563450,,Inc.;incorporated
76,CRIME,37005552,"CRIME;compression ratio info-leak made easy
BREACH;browser reconnaissance and exfiltration via adaptive compression of hypertext
TLS;transport layer security","SSL;secure sockets layer
SPDY;speedy
TLS;transport layer security
nginx;engine-ex
OpenSSL;open secure sockets layer
HTTP;hypertext transfer protocol
WEB;world english bible
BEAST;browser exploit against ssl/tls
CVE;common vulnerabilities and exposures
HTTPS;hypertext transfer protocol secure"
77,KakaoPage,48479886,,"WEB;world english bible
mid;middle
C.I.;culture industry
Corp.;corporation"
78,Motorola 68008,174940,,"HMOS;high density, short channel mos
QL;quantum leap
RAM;random access memory"
79,GolfBOO,44190015,,
80,CEN/XFS,1064223,"XFS;extensions for financial services
CEN;comité européen de normalisation","WOSA;windows open services architecture
IBM;international business machines
EFTPOS;electronic funds transfer at point of sale
API;application programming interface
CEN/XFS;comité européen de normalisation/extensions for financial services
XML;extensible markup language
CEN/ISSS;comité européen de normalisation/information society standardization system
ATM;automated teller machine
WOSA/XFS;windows open services architecture/extensions for financial services
JavaPOS;java for point of sale devices
J/XFS;java extensions for financial services
NCR;national cash register
CEN;comité européen de normalisation"
81,Avaya ERS 8800 Series,31089004,"ASLAN;assured services local area network
CPU;central processing unit
SF;switch fabric
JITC;joint interoperability test command
ERS;ethernet routing switch","MAC;media access control
VLANs;virtual local area networks
SF/CPU;switch fabric/central processing unit
IP;internet protocol
U.S.;united states"
82,National Carbon Company,11834748,NCC;national carbon company,"US;united states
St.;saint
LLC;limited liability company
UCAR;union carbide
U.S.;united states"
83,Maryse Liburdi,42121567,,"CEO;chief executive officer
US;united states"
84,Adobe Ultra,12869240,"CS3;creative suite 3
CS4;creative suite 4","CS5;creative suite 5
CS4;creative suite 4
3D;three-dimensional
ADOBE;another disc obliterated by elements."
85,Ovi (Nokia),13142328,"IM;instant messaging
ISVs;independent software vendors
IP;intellectual property
MTP;media transfer protocol","CA;california
vs;versus
US;united states
ME;micro edition
PDF;portable document format
etc;et cetera
CSV;comma-separated values
API;application programming interface
SMS;short message service
PIM;product information management
apps;applications
USA;united states of america
PC;personal computer
e.g.;exempli gratia
URL;uniform resource locator
App;application
UK;united kingdom
IE;internet explorer
MP3;mpeg-1 audio layer iii
Sync;synchronization"
86,Atom (text editor),42083804,"apm;atom's package manager
IDE;integrated development environment","HTML;hypertext markup language
CSS;cascading style sheets
MIT;massachusetts institute of technology"
87,InterMezzo (file system),48095,"GNU;general public license
FTP;file transfer protocol","ext3;third extended filesystem
WWW;world wide web
JFS;journaled file system
XFS;extended file system"
88,Art & Architecture Thesaurus,8731797,"TGN;thesaurus of geographic names
ULAN;union list of artist names
GRI;getty research institute
AAT;art & architecture thesaurus
AAT-Taiwan;art & architecture thesaurus-taiwan
TELDAP;taiwan e-learning and digital archives program","RPI;rensselaer polytechnic institute
NY;new york
NISO;national information standards organization
VT;vermont
ISO;international organization for standardization
ANSI/NISO;american national standards institute/national information standards organization"
89,Kraus–Weber test,55862417,K-W;kraus–weber,
90,Diskless shared-root cluster,9183639,"OS;operating system
SSI;single-system image","pxe;preboot execution environment
OpenVMS;open virtual memory system
dhcp;dynamic host configuration protocol
tftp;trivial file transfer protocol
UNIX;uniplexed information and computing system
nfs;network file system
NFS;network file system
VMScluster;virtual memory system cluster"
91,InterNetNews,172820,"ISC;internet systems consortium
INN;internetnews
CNFS;cyclical news filesystem","ISC;internet systems consortium
innd;internet news daemon
NNTP;network news transfer protocol"
92,Albert Rowe (physicist),25454608,"RDF;range and direction finding
TRE;telecommunications research establishment
AI;airborne interception","H2S;home sweet home
CBE;commander of the order of the british empire"
93,Ethernet hub,1937926,"AUI;attachment unit interface
I/O;input/output","Mbit/s;megabit per second
BNC;bayonet neill–concelman
8P8C;8 position 8 contact
e.g.;exempli gratia
OSI;open system interconnection
RJ45;registered jack 45
IEEE;institute of electrical and electronics engineers"
94,Short Payment Descriptor,37933439,"SPD;short payment descriptor
SPAYD;short payment descriptor","P2P;peer-to-peer
SEPA;single euro payments area
NFC;near-field communication
s.r.o.;self-regulatory organization
QR;quick response
ASCII;american standard code for information interchange
MIME;multipurpose internet mail extensions
a.s.;anonymous company
IBAN;international bank account number
APIs;application programming interfaces
vCard;virtual contact file"
95,Oral History Metadata Synchronizer,39925767,OHMS;oral history metadata synchronizer,"UK;united kingdom
Dr.;doctor"
96,SCVNGR,28206257,SCVNGR;scavenger,"www;world wide web
SMS;short message service
app;application"
97,Act of Love (politics),49536247,U.S.;united states,"ad;advertisement
U.S.;united states of america
GOP;grand old party"
98,SMART Retainer,17775678,,SMART;small micro sensor retainer
99,Kantai Collection,40484879,,"Lv.;level
CD;compact disk
DMM;digital media manager
ASCII;american standard code for information interchange
VPN;virtual private network
RNG-based;based on a random number generator
PS;playstation
SQL;structured query language
ENGI;entertainment graphic innovation
Vol.;volume
CDs;compact disks
GP;gold points
PVC;polyvinyl chloride
IP;internet protocol
RPG;role-playing game
3D;three-dimensional space
2D;two-dimensional space"
100,The Legend of Legacy,43948986,"stats;statistics
RPG;role-playing game","RPGs;role-playing games
USA;united states of america
3D;three dimensional
NIS;nippon ichi software
RPG;role-playing game
NIS;net institutional sales"
101,SocialGO,22878839,,Pro;professional
102,KornShell,17213,"CDE;common desktop environment
AST;at&t software technology
ksh;kornshell","POSIX;portable operating system interface
Tcl/Tk;tool command language/tool kit
IEEE-Std;institute of electrical and electronics engineers standards
AIX;advanced interactive executive
GNU;gnu's not unix"
103,Regenerative design,14967273,"US;united states
LENSES;living environments in natural, social and economic systems
Cal;california
BNIM;berkebile nelson immenschuh mcdowell
USGBC;us green building council
SPeAR;sustainable project appraisal routine
Poly;polytechnic","m;meters
LEED-certified;leadership in energy and environmental design-certified
etc.;et cetera
SMART;self-monitoring, analysis, and reporting technology
BREEAM;building research establishment environmental assessment method
et al.;et alia
LEED;leadership in energy and environmental design"
104,CityGML,5981974,"GML3;geography markup language 3
LoDs;levels of detail
OGC;open geospatial consortium","GML;geography markup language
TC211;technical specifications 211
DB;database
XML;extensible markup language
ISO;international standards
CityGML;city geography markup language
LoD;levels of detail"
105,ProCurve Products,14509372,PCM;procurve manager,"HP;hewlett-packard
LC;lucent connector
10GbE;10 gigabit ethernet
VPN;virtual private network
API;application programming interface
WAN;wide area network
GBICs;gigabit interface converters
ProCurve;professional curve
Mbit/s;megabits per second
VoIP;voice over internet protocol
IPS;in-plane switching
MSM;multiservice mobility"
106,ArchiCAD,4410993,"GDL;geometric description language
API;application programming interface
3D;three-dimensional
2D;two-dimensional
IAI;international alliance for interoperability","OBDC;open database connectivity
5D;five-dimensional
DXF;drawing exchange format
IT;information technology
MEP;mechanical/electrical/plumbing
etc.;et cetera
BIMcloud;building information modeling cloud
BIM;building information modeling
3D;three-dimensional
LDAP;lightweight directory access protocol
IFC;industry foundation classes
4D;four-dimensional
HTTP/HTTPS;hypertext transfer protocol/hypertext transfer protocol secure
2D;two-dimensional
ODBC;open database connectivity
BCF;bim collaboration format
CAD;computer-aided design"
107,Microsoft Desktop Optimization Pack,14951927,"DaRT;diagnostics and recovery toolset
MDOP;microsoft desktop optimization pack
ERD;emergency repair disk",
108,MelsecNet,31565579,,Mbit/s;megabits per second
109,RE (complexity),3106703,"R;recursive
RE;recursively enumerable","co-RE;complexity recursively enumerable
MIP;multiple-interrogator-prover
NRNC;non-recursive/non-complexity -recursive
co-RE-complete;complexity recursively enumerable complete
RE-complete;recursively enumerable complete"
110,BASIC Computer Games,20191096,,"HP;hewlett packard
BASIC;beginner's all-purpose symbolic instruction code
GW-BASIC;gee whiz-beginner's all-purpose symbolic instruction code
PET;personal electronic transactor
TRS-80;tandy radio shack-80
DEC;digital equipment corporation
FOCAL;formulating on-line calculations in algebraic language"
111,Data activism,51552534,CODIS;combined dna index system,DNA;deoxyribonucleic acid
112,CC (complexity),37764147,"CC;comparator circuits
CCVP;comparator circuit value problem","NL;nondeterministic logarithmic
AC;alternating current
P;polynomial
CC-complete;comparator circuits-complete
NC;nick's class"
113,Chaos game,2572603,IFS;iterated function system,
114,H1droid,31465462,,"GPU;graphics processing unit
microSD;micro storage device
SD;storage device
LiMo;linux mobile"
115,Switching lemma,31332864,,i.e.;id est
116,Web widget,6725861,,"API;application programming interface
USA;united states of america
W3C;world wide web consortium
CSS;cascading style sheets
CORS;cross-origin resource sharing
HTML;hypertext markup language"
117,HP Stream 7,48700969,HP;hewlett-packard,"ZDNet;ziff davis network
eIPS;enhanced in-plane switching
microSDHC;micro secure digital high capacity
GHz;gigahertz
mm;millimeter
DDRL3;double data rate 3 low voltage
HSPA+;evolved high speed packet access plus
Wi-Fi;wireless fidelity
RS;reduced standby
GB;gigabyte
LCD;liquid-crystal display
RAM;random-access memory
USB;universal serial bus
CPU;central processing unit
MP;megapixel
IPS;in-plane switching
Mah;milliamp per hour
microSD;micro secure digital"
